tweet_id,timestamp,media_url_https,favorite_count,retweet_count,user_id,screen_name,followers_count,friends_count,statuses_count,verified
892420643555336193,2017-08-01 16:23:56+00:00,https://pbs.twimg.com/media/DGKD1-bXoAAIAUK.jpg,37791,8236,4196983835,dog_rates,7852062,12,9877,True
892177421306343426,2017-08-01 00:17:27+00:00,https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg,32470,6087,4196983835,dog_rates,7852062,12,9877,True
891815181378084864,2017-07-31 00:18:03+00:00,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,24440,4028,4196983835,dog_rates,7852062,12,9877,True
891689557279858688,2017-07-30 15:58:51+00:00,https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg,41119,8393,4196983835,dog_rates,7852062,12,9877,True
891327558926688256,2017-07-29 16:00:24+00:00,https://pbs.twimg.com/media/DF6hr6AVYAAZ8G8.jpg,39333,9090,4196983835,dog_rates,7852062,12,9877,True
891087950875897856,2017-07-29 00:08:17+00:00,https://pbs.twimg.com/media/DF3HwyEWsAABqE6.jpg,19768,3016,4196983835,dog_rates,7852063,12,9877,True
890971913173991426,2017-07-28 16:27:12+00:00,https://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg,11559,1993,4196983835,dog_rates,7852063,12,9877,True
890729181411237888,2017-07-28 00:22:40+00:00,https://pbs.twimg.com/media/DFyBag_UQAAhhBC.jpg,63747,18308,4196983835,dog_rates,7852063,12,9877,True
890609185150312448,2017-07-27 16:25:51+00:00,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,27166,4142,4196983835,dog_rates,7852063,12,9877,True
890240255349198849,2017-07-26 15:59:51+00:00,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,31146,7156,4196983835,dog_rates,7852063,12,9877,True
890006608113172480,2017-07-26 00:31:25+00:00,https://pbs.twimg.com/media/DFnwSY4WAAAMliS.jpg,29941,7114,4196983835,dog_rates,7852063,12,9877,True
889880896479866881,2017-07-25 16:11:53+00:00,https://pbs.twimg.com/media/DFl99B1WsAITKsg.jpg,27154,4825,4196983835,dog_rates,7852063,12,9877,True
889665388333682689,2017-07-25 01:55:32+00:00,https://pbs.twimg.com/media/DFi579UWsAAatzw.jpg,46950,9737,4196983835,dog_rates,7852063,12,9877,True
889638837579907072,2017-07-25 00:10:02+00:00,https://pbs.twimg.com/media/DFihzFfXsAYGDPR.jpg,26472,4394,4196983835,dog_rates,7852063,12,9877,True
889531135344209921,2017-07-24 17:02:04+00:00,https://pbs.twimg.com/media/DFg_2PVW0AEHN3p.jpg,14759,2183,4196983835,dog_rates,7852063,12,9877,True
889278841981685760,2017-07-24 00:19:32+00:00,https://pbs.twimg.com/ext_tw_video_thumb/889278779352338437/pu/img/VlbFB3v8H8VwzVNY.jpg,24635,5209,4196983835,dog_rates,7852063,12,9877,True
888917238123831296,2017-07-23 00:22:39+00:00,https://pbs.twimg.com/media/DFYRgsOUQAARGhO.jpg,28430,4371,4196983835,dog_rates,7852064,12,9877,True
888804989199671297,2017-07-22 16:56:37+00:00,https://pbs.twimg.com/media/DFWra-3VYAA2piG.jpg,24948,4155,4196983835,dog_rates,7852064,12,9877,True
888554962724278272,2017-07-22 00:23:06+00:00,https://pbs.twimg.com/media/DFTH_OiUMAE-k4M.jpg,19358,3434,4196983835,dog_rates,7852064,12,9877,True
